"molecule_ChemBL_ID	canonical_Smiles	MW	LogP	pIC50"
"CHEMBL367364	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	309.29	3.24	6.82"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.63"
"CHEMBL458084	N#Cc1ccc([C@H]2CCCC[C@H]2O)cc1C(F)(F)F	269.27	3.6	7.43"
"CHEMBL391548	N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F	263.22	3.95	10.7"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.4"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.7"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	6.7"
"CHEMBL182993	O=C1[C@@H]2C3C=CC([C@H]4C[C@@H]34)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	333.31	3.26	5.77"
"CHEMBL2386408	NC(=O)c1ccc(-c2cc(=O)c3c(O)cccc3o2)cc1	281.27	2.26	5.45"
"CHEMBL2159565	Fc1ccc(C2=NOC3CCCC23)c(C(F)(F)F)c1	273.23	3.75	5.81"
"CHEMBL3238284	C[C@](O)(COc1ccc(-c2cocn2)cc1)C(=O)N1CCc2c(C#N)cccc21	389.41	2.93	6.75"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.7"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.48"
"CHEMBL399887	N#Cc1ccc(O[C@@H]2CCCC[C@H]2C#N)cc1C(F)(F)F	294.28	4.04	7.92"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.22"
"CHEMBL2337506	N#Cc1ccc(N2CCC(O)C2)cc1Cl	222.68	1.78	7.09"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	7.27"
"CHEMBL391548	N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F	263.22	3.95	7.4"
"CHEMBL1946622	CC1(C)CNC(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1	298.26	2.48	6.98"
"CHEMBL453740	CC(C)Sc1ccc(C#N)c(C(F)(F)F)c1	245.27	4.08	7.7"
"CHEMBL445429	COc1cc(SC(C)C)ccc1C#N	207.3	3.07	7.54"
"CHEMBL510145	COc1cc(Sc2ccccc2OC)ccc1C#N	271.34	3.73	7.46"
"CHEMBL462026	COc1ccccc1Sc1ccc(C#N)c(C(F)(F)F)c1	309.31	4.74	7.43"
"CHEMBL443970	CCCSc1ccc(C#N)c(OC)c1	207.3	3.07	7.4"
"CHEMBL449867	COc1cc(C#N)ccc1Oc1ccccc1C	239.27	3.67	7.32"
"CHEMBL490956	Cc1ccccc1Sc1ccc(C#N)cc1Cl	259.76	4.67	7.11"
"CHEMBL449371	N#Cc1ccc(SC2CCC2)cc1C(F)(F)F	257.28	4.22	6.71"
"CHEMBL501649	COc1cc(Oc2ccc(C)cc2)ccc1C#N	239.27	3.67	6.7"
"CHEMBL447604	COc1cc(C#N)ccc1Oc1cccc(C)c1	239.27	3.67	6.45"
"CHEMBL453624	N#Cc1ccc(SCC2CCC2)cc1C(F)(F)F	271.31	4.47	6.15"
"CHEMBL464929	COc1cc(C#N)ccc1Oc1ccc(C)cc1	239.27	3.67	5.28"
"CHEMBL1208812	C[C@]12CNC[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12	379.34	1.83	6.89"
"CHEMBL462663	COc1cc(SCCC(C)C)ccc1C#N	235.35	3.71	5.76"
"CHEMBL266491	COCCOc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1	321.3	4.27	5.65"
"CHEMBL507671	N#Cc1ccc(Sc2ccccc2F)cc1C(F)(F)F	297.28	4.87	6.74"
"CHEMBL449371	N#Cc1ccc(SC2CCC2)cc1C(F)(F)F	257.28	4.22	6.78"
"CHEMBL507671	N#Cc1ccc(Sc2ccccc2F)cc1C(F)(F)F	297.28	4.87	6.74"
"CHEMBL453244	COc1cc(SCC2CCC2)ccc1C#N	233.34	3.46	6.36"
"CHEMBL462664	CCCSc1ccc(C#N)c(C(F)(F)F)c1	245.27	4.08	7.96"
"CHEMBL490955	Cc1ccccc1Oc1ccc(C#N)cc1Cl	243.69	4.31	7.34"
"CHEMBL491493	COc1cc(Oc2ccccc2C)ccc1C#N	239.27	3.67	7.09"
"CHEMBL453740	CC(C)Sc1ccc(C#N)c(C(F)(F)F)c1	245.27	4.08	7.05"
"CHEMBL490957	COc1cc(Oc2cccc(C)c2)ccc1C#N	239.27	3.67	6.71"
"CHEMBL1085594	N#Cc1ccc(Oc2ccc(F)cc2F)cc1C(F)(F)F	299.2	4.65	6.31"
"CHEMBL3410850	N#Cc1ccc(N2[C@H]3CC[C@H]2CC(O)C3)cc1C(F)(F)F	296.29	3.07	7.4"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	7.06"
"CHEMBL178957	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1	375.27	4.04	5.76"
"CHEMBL470204	Cc1ccccc1Oc1ccc(C#N)c(Cl)c1	243.69	4.31	7.52"
"CHEMBL470204	Cc1ccccc1Oc1ccc(C#N)c(Cl)c1	243.69	4.31	7.24"
"CHEMBL490956	Cc1ccccc1Sc1ccc(C#N)cc1Cl	259.76	4.67	7.37"
"CHEMBL449867	COc1cc(C#N)ccc1Oc1ccccc1C	239.27	3.67	6.94"
"CHEMBL453623	N#Cc1ccc(SCC2CC2)cc1C(F)(F)F	257.28	4.08	6.88"
"CHEMBL4746960	CC(Cn1cc(F)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	340.28	3.19	6.33"
"CHEMBL4800363	C[C@](O)(Cn1cc(F)cn1)C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1I	482.18	2.91	5.26"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.85"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.79"
"CHEMBL3084689	N#Cc1ccc(N2[C@@H]3CC[C@H]2C[C@@H](O)C3)cc1Cl	262.74	2.7	7.5"
"CHEMBL188297	O=C1[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	354.28	3.15	8"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.4"
"CHEMBL361222	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(Br)c(C(F)(F)F)c1	386.17	3.78	6.84"
"CHEMBL2386395	O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2cccc(O)c12	283.24	3.07	6.44"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.79"
