Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems 2 [idcode]
CHEMBL367364,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,309.29,0,3.24,IC50,'=',152,nM,6.82,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',232,nM,6.63,gFp@DiTt@@@
CHEMBL458084,N#Cc1ccc([C@H]2CCCC[C@H]2O)cc1C(F)(F)F,269.27,0,3.6,IC50,'=',37,nM,7.43,gFp@DiTt@@@
CHEMBL391548,N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F,263.22,0,3.95,IC50,'=',0.02,nM,10.7,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',400,nM,6.4,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',200,nM,6.7,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',200,nM,6.7,gFp@DiTt@@@
CHEMBL182993,O=C1[C@@H]2C3C=CC([C@H]4C[C@@H]34)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,333.31,0,3.26,IC50,'=',1700,nM,5.77,gFp@DiTt@@@
CHEMBL2386408,NC(=O)c1ccc(-c2cc(=O)c3c(O)cccc3o2)cc1,281.27,0,2.26,IC50,'=',3580,nM,5.45,gFp@DiTt@@@
CHEMBL2159565,Fc1ccc(C2=NOC3CCCC23)c(C(F)(F)F)c1,273.23,0,3.75,IC50,'=',1548.82,nM,5.81,gFp@DiTt@@@
CHEMBL3238284,C[C@](O)(COc1ccc(-c2cocn2)cc1)C(=O)N1CCc2c(C#N)cccc21,389.41,0,2.93,IC50,'=',179.4,nM,6.75,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',200,nM,6.7,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',330,nM,6.48,gFp@DiTt@@@
CHEMBL399887,N#Cc1ccc(O[C@@H]2CCCC[C@H]2C#N)cc1C(F)(F)F,294.28,0,4.04,IC50,'=',12,nM,7.92,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',600,nM,6.22,gFp@DiTt@@@
CHEMBL2337506,N#Cc1ccc(N2CCC(O)C2)cc1Cl,222.68,0,1.78,IC50,'=',82,nM,7.09,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',54,nM,7.27,gFp@DiTt@@@
CHEMBL391548,N#Cc1ccc(-c2ccccc2O)cc1C(F)(F)F,263.22,0,3.95,IC50,'=',39.9,nM,7.4,gFp@DiTt@@@
CHEMBL1946622,CC1(C)CNC(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1,298.26,0,2.48,IC50,'=',105,nM,6.98,gFp@DiTt@@@
CHEMBL453740,CC(C)Sc1ccc(C#N)c(C(F)(F)F)c1,245.27,0,4.08,IC50,'=',20,nM,7.7,gFp@DiTt@@@
CHEMBL445429,COc1cc(SC(C)C)ccc1C#N,207.3,0,3.07,IC50,'=',29,nM,7.54,gFp@DiTt@@@
CHEMBL510145,COc1cc(Sc2ccccc2OC)ccc1C#N,271.34,0,3.73,IC50,'=',35,nM,7.46,gFp@DiTt@@@
CHEMBL462026,COc1ccccc1Sc1ccc(C#N)c(C(F)(F)F)c1,309.31,0,4.74,IC50,'=',37,nM,7.43,gFp@DiTt@@@
CHEMBL443970,CCCSc1ccc(C#N)c(OC)c1,207.3,0,3.07,IC50,'=',40,nM,7.4,gFp@DiTt@@@
CHEMBL449867,COc1cc(C#N)ccc1Oc1ccccc1C,239.27,0,3.67,IC50,'=',48,nM,7.32,gFp@DiTt@@@
CHEMBL490956,Cc1ccccc1Sc1ccc(C#N)cc1Cl,259.76,0,4.67,IC50,'=',78,nM,7.11,gFp@DiTt@@@
CHEMBL449371,N#Cc1ccc(SC2CCC2)cc1C(F)(F)F,257.28,0,4.22,IC50,'=',194,nM,6.71,gFp@DiTt@@@
CHEMBL501649,COc1cc(Oc2ccc(C)cc2)ccc1C#N,239.27,0,3.67,IC50,'=',200,nM,6.7,gFp@DiTt@@@
CHEMBL447604,COc1cc(C#N)ccc1Oc1cccc(C)c1,239.27,0,3.67,IC50,'=',353,nM,6.45,gFp@DiTt@@@
