level_0,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,0,CHEMBL413773,O=[N+]([O-])c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,intermediate,282.25500000000005,3.2212000000000005,2,5,5.85294232897164
1,1,CHEMBL380035,O=[N+]([O-])c1cc2c(O)c(-c3ccccc3)c(O)nc2cc1Cl,active,316.70000000000005,3.8746,2,5,6.684029654543083
2,2,CHEMBL213458,N#Cc1cc2c(O)c(-c3ccccc3)c(O)nc2cc1Cl,active,296.7130000000001,3.8380800000000006,2,4,6.866461091629782
3,3,CHEMBL209656,N#Cc1cc(Cl)c2nc(O)c(-c3ccccc3)c(O)c2c1,active,296.713,3.8380800000000015,2,4,6.39577394691553
4,4,CHEMBL215910,CS(=O)(=O)c1cccc(-c2c(O)nc3cc(Cl)c(C#N)cc3c2O)c1,intermediate,374.8050000000001,3.241580000000001,2,6,5.380489279161502
5,5,CHEMBL214037,N#Cc1cc2c(O)c(-c3cccc(-c4ccc(F)cc4)c3)c(O)nc2cc1Cl,active,390.80100000000004,5.644180000000003,2,4,7.267606240177032
6,6,CHEMBL213583,N#Cc1cc2c(O)c(-c3cccc(-c4ccc(F)c(F)c4)c3)c(O)nc2cc1Cl,active,408.79100000000005,5.783280000000002,2,4,7.167491087293763
7,7,CHEMBL373985,N#Cc1cc2c(O)c(-c3cccc(-c4cc(F)cc(F)c4)c3)c(O)nc2cc1Cl,active,408.79100000000005,5.783280000000002,2,4,6.137868620686962
8,8,CHEMBL385709,N#Cc1cc2c(O)c(-c3cccc(-c4ccc5ccccc5c4)c3)c(O)nc2cc1Cl,active,422.8710000000001,6.658280000000004,2,4,6.896196279044043
9,9,CHEMBL377865,N#Cc1cc2c(O)c(-c3cccc(-c4csc5ccccc45)c3)c(O)nc2cc1Cl,active,428.9000000000001,6.719780000000003,2,5,6.995678626217358
10,10,CHEMBL213634,COc1ccccc1-c1cccc(-c2c(O)nc3cc(Cl)c(C#N)cc3c2O)c1,active,402.8370000000001,5.513680000000004,2,5,7.721246399047171
11,11,CHEMBL213635,Cn1cc(-c2cccc(-c3c(O)nc4cc(Cl)c(C#N)cc4c3O)c2)cn1,active,376.8030000000001,4.2385800000000025,2,6,6.134303940083929
12,12,CHEMBL376206,N#Cc1cc2c(O)c(-c3cccc(-c4cccnc4)c3)c(O)nc2cc1Cl,active,373.7990000000001,4.9000800000000035,2,5,6.7121982700697735
13,13,CHEMBL375390,N#Cc1cc2c(O)c(-c3cccc(-c4ccccc4)c3)c(O)nc2cc1Cl,active,372.81100000000015,5.505080000000004,2,4,7.2839966563652006
14,14,CHEMBL213299,N#Cc1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,intermediate,262.268,3.18468,2,4,5.888065723667318
15,15,CHEMBL209897,Oc1nc2ccc(C(F)(F)F)cc2c(O)c1-c1ccccc1,inactive,305.255,4.331800000000002,2,3,4.823908740944319
16,16,CHEMBL209576,CS(=O)(=O)c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,inactive,315.3500000000001,2.716500000000001,2,5,4.823908740944319
17,17,CHEMBL209582,O=S(=O)(c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1)C(F)(F)F,inactive,369.32000000000005,3.6065000000000005,2,5,4.823908740944319
18,18,CHEMBL214361,N#Cc1cc2c(Cl)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,315.159,4.785880000000003,1,3,4.823908740944319
19,19,CHEMBL386578,N#Cc1cc2c(N)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,295.72900000000004,3.7146800000000004,2,4,4.823908740944319
20,20,CHEMBL211799,COc1ccc(CNc2c(-c3ccccc3)c(O)nc3cc(Cl)c(C#N)cc23)cc1,inactive,415.8800000000001,5.753180000000004,2,5,4.823908740944319
21,21,CHEMBL214093,N#Cc1cc2c(NCc3ccccc3)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,385.85400000000016,5.7445800000000045,2,4,4.823908740944319
22,22,CHEMBL212973,N#Cc1cc2c(C#N)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,305.72400000000005,4.004160000000001,1,4,4.823908740944319
23,23,CHEMBL436792,N#Cc1cc2c(Br)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,359.6100000000001,4.894980000000003,1,3,4.823908740944319
24,24,CHEMBL2147031,CCN1CC2(CCN(S(=O)(=O)c3ccc(-c4ccc5occc5c4)cc3)CC2)OCC1=O,active,454.5480000000003,3.501800000000002,0,5,6.600326278518962
25,25,CHEMBL2147032,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,active,477.5860000000003,3.4463000000000017,0,5,8.0
