index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL413773,O=[N+]([O-])c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,intermediate,282.255,3.2212,2,5,5.852942329
1,CHEMBL380035,O=[N+]([O-])c1cc2c(O)c(-c3ccccc3)c(O)nc2cc1Cl,active,316.7,3.8746,2,5,6.684029655
2,CHEMBL213458,N#Cc1cc2c(O)c(-c3ccccc3)c(O)nc2cc1Cl,active,296.713,3.83808,2,4,6.866461092
3,CHEMBL209656,N#Cc1cc(Cl)c2nc(O)c(-c3ccccc3)c(O)c2c1,active,296.713,3.83808,2,4,6.395773947
4,CHEMBL215910,CS(=O)(=O)c1cccc(-c2c(O)nc3cc(Cl)c(C#N)cc3c2O)c1,intermediate,374.805,3.24158,2,6,5.380489279
5,CHEMBL214037,N#Cc1cc2c(O)c(-c3cccc(-c4ccc(F)cc4)c3)c(O)nc2cc1Cl,active,390.801,5.64418,2,4,7.26760624
6,CHEMBL213583,N#Cc1cc2c(O)c(-c3cccc(-c4ccc(F)c(F)c4)c3)c(O)nc2cc1Cl,active,408.791,5.78328,2,4,7.167491087
7,CHEMBL373985,N#Cc1cc2c(O)c(-c3cccc(-c4cc(F)cc(F)c4)c3)c(O)nc2cc1Cl,active,408.791,5.78328,2,4,6.137868621
8,CHEMBL385709,N#Cc1cc2c(O)c(-c3cccc(-c4ccc5ccccc5c4)c3)c(O)nc2cc1Cl,active,422.871,6.65828,2,4,6.896196279
9,CHEMBL377865,N#Cc1cc2c(O)c(-c3cccc(-c4csc5ccccc45)c3)c(O)nc2cc1Cl,active,428.9,6.71978,2,5,6.995678626
10,CHEMBL213634,COc1ccccc1-c1cccc(-c2c(O)nc3cc(Cl)c(C#N)cc3c2O)c1,active,402.837,5.51368,2,5,7.721246399
11,CHEMBL213635,Cn1cc(-c2cccc(-c3c(O)nc4cc(Cl)c(C#N)cc4c3O)c2)cn1,active,376.803,4.23858,2,6,6.13430394
12,CHEMBL376206,N#Cc1cc2c(O)c(-c3cccc(-c4cccnc4)c3)c(O)nc2cc1Cl,active,373.799,4.90008,2,5,6.71219827
13,CHEMBL375390,N#Cc1cc2c(O)c(-c3cccc(-c4ccccc4)c3)c(O)nc2cc1Cl,active,372.811,5.50508,2,4,7.283996656
14,CHEMBL213299,N#Cc1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,intermediate,262.268,3.18468,2,4,5.888065724
15,CHEMBL209897,Oc1nc2ccc(C(F)(F)F)cc2c(O)c1-c1ccccc1,inactive,305.255,4.3318,2,3,4.823908741
16,CHEMBL209576,CS(=O)(=O)c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1,inactive,315.35,2.7165,2,5,4.823908741
17,CHEMBL209582,O=S(=O)(c1ccc2nc(O)c(-c3ccccc3)c(O)c2c1)C(F)(F)F,inactive,369.32,3.6065,2,5,4.823908741
18,CHEMBL214361,N#Cc1cc2c(Cl)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,315.159,4.78588,1,3,4.823908741
19,CHEMBL386578,N#Cc1cc2c(N)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,295.729,3.71468,2,4,4.823908741
20,CHEMBL211799,COc1ccc(CNc2c(-c3ccccc3)c(O)nc3cc(Cl)c(C#N)cc23)cc1,inactive,415.88,5.75318,2,5,4.823908741
21,CHEMBL214093,N#Cc1cc2c(NCc3ccccc3)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,385.854,5.74458,2,4,4.823908741
22,CHEMBL212973,N#Cc1cc2c(C#N)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,305.724,4.00416,1,4,4.823908741
23,CHEMBL436792,N#Cc1cc2c(Br)c(-c3ccccc3)c(O)nc2cc1Cl,inactive,359.61,4.89498,1,3,4.823908741
24,CHEMBL2147031,CCN1CC2(CCN(S(=O)(=O)c3ccc(-c4ccc5occc5c4)cc3)CC2)OCC1=O,active,454.548,3.5018,0,5,6.600326279
